ID,Review_Text,Verified_Buyer,Review_Date,Review_Location,Review_Upvotes,Review_Downvotes,Product,Brand,Scrape_Date,Review_Title,sentiment
1000,Absolutely love the texture and results.,Yes,2024-03-29,Hyderabad,47,24,Sunscreen,CeraVe,2025-05-17,Great product!,Positive
1001,Hydrated my face and left it glowing.,Yes,2024-10-17,Delhi,11,14,Face Wash,Dot & Key,2025-05-17,Great product!,Positive
1002,Caused irritation and redness.,Yes,2023-02-13,Delhi,0,0,Face Wash,CeraVe,2025-05-17,Not recommended,Negative
1003,"Waste of money, no visible results.",Yes,2024-02-08,Chennai,39,20,Night Cream,Cetaphil,2025-05-17,Not recommended,Negative
1004,"Waste of money, no visible results.",No,2023-12-07,Delhi,47,1,Sunscreen,Dot & Key,2025-05-17,Not recommended,Negative
1005,Reduced my acne and dark spots significantly.,Yes,2023-08-26,Chennai,25,25,Hydrating Gel,Neutrogena,2025-05-17,Great product!,Positive
1006,Too oily and broke me out.,Yes,2023-10-20,Bangalore,44,3,Night Cream,Neutrogena,2025-05-17,Not recommended,Negative
1007,Hydrated my face and left it glowing.,No,2023-08-05,Bangalore,47,29,Face Wash,CeraVe,2025-05-17,Great product!,Positive
1008,This product worked wonders for my skin!,No,2024-10-29,Chennai,3,4,Night Cream,Neutrogena,2025-05-17,Great product!,Positive
1009,Reduced my acne and dark spots significantly.,No,2023-11-30,Bangalore,49,2,Hydrating Gel,CeraVe,2025-05-17,Great product!,Positive
1010,Reduced my acne and dark spots significantly.,No,2023-05-06,Hyderabad,2,2,Face Wash,Dot & Key,2025-05-17,Great product!,Positive
1011,Caused irritation and redness.,No,2023-04-29,Bangalore,27,13,Sunscreen,Cetaphil,2025-05-17,Not recommended,Negative
1012,Too oily and broke me out.,No,2024-09-06,Chennai,9,8,Hydrating Gel,Dot & Key,2025-05-17,Not recommended,Negative
1013,Didn't work at all for my skin.,No,2023-05-26,Hyderabad,37,15,Face Wash,Cetaphil,2025-05-17,Not recommended,Negative
1014,"Waste of money, no visible results.",No,2023-03-26,Mumbai,2,0,Sunscreen,CeraVe,2025-05-17,Not recommended,Negative
1015,Too oily and broke me out.,No,2023-11-23,Chennai,45,3,Hydrating Gel,Neutrogena,2025-05-17,Not recommended,Negative
1016,"Waste of money, no visible results.",No,2024-01-09,Delhi,16,28,Night Cream,CeraVe,2025-05-17,Not recommended,Negative
1017,Will definitely repurchase. Highly recommend!,Yes,2023-09-12,Chennai,25,5,Hydrating Gel,Neutrogena,2025-05-17,Great product!,Positive
1018,Didn't work at all for my skin.,Yes,2024-02-08,Bangalore,46,18,Night Cream,Dot & Key,2025-05-17,Not recommended,Negative
1019,This product worked wonders for my skin!,No,2024-09-21,Mumbai,36,13,Face Wash,CeraVe,2025-05-17,Great product!,Positive
1020,Too oily and broke me out.,Yes,2023-05-11,Mumbai,45,10,Sunscreen,Neutrogena,2025-05-17,Not recommended,Negative
1021,Hydrated my face and left it glowing.,No,2024-09-04,Mumbai,17,29,Sunscreen,Neutrogena,2025-05-17,Great product!,Positive
1022,Didn't work at all for my skin.,No,2024-03-05,Mumbai,0,16,Face Wash,Dot & Key,2025-05-17,Not recommended,Negative
1023,Hydrated my face and left it glowing.,Yes,2024-07-13,Mumbai,29,25,Night Cream,Dot & Key,2025-05-17,Great product!,Positive
1024,Will definitely repurchase. Highly recommend!,Yes,2023-01-06,Hyderabad,20,6,Night Cream,Dot & Key,2025-05-17,Great product!,Positive
1025,Caused irritation and redness.,Yes,2024-04-07,Hyderabad,4,7,Face Wash,CeraVe,2025-05-17,Not recommended,Negative
1026,Didn't work at all for my skin.,Yes,2024-07-06,Mumbai,5,12,Night Cream,CeraVe,2025-05-17,Not recommended,Negative
1027,"Waste of money, no visible results.",No,2024-06-23,Bangalore,31,3,Sunscreen,Dot & Key,2025-05-17,Not recommended,Negative
1028,Will definitely repurchase. Highly recommend!,Yes,2023-09-14,Chennai,35,21,Sunscreen,Cetaphil,2025-05-17,Great product!,Positive
1029,Absolutely love the texture and results.,No,2023-07-24,Chennai,45,21,Sunscreen,CeraVe,2025-05-17,Great product!,Positive
1030,Hydrated my face and left it glowing.,No,2024-06-15,Mumbai,10,18,Sunscreen,Cetaphil,2025-05-17,Great product!,Positive
1031,This product worked wonders for my skin!,No,2024-04-19,Mumbai,16,4,Hydrating Gel,Neutrogena,2025-05-17,Great product!,Positive
1032,Reduced my acne and dark spots significantly.,Yes,2024-06-30,Hyderabad,34,18,Face Wash,CeraVe,2025-05-17,Great product!,Positive
1033,Hydrated my face and left it glowing.,No,2023-07-20,Chennai,40,6,Hydrating Gel,Neutrogena,2025-05-17,Great product!,Positive
1034,Hydrated my face and left it glowing.,No,2024-07-20,Delhi,39,23,Sunscreen,CeraVe,2025-05-17,Great product!,Positive
1035,"Waste of money, no visible results.",Yes,2023-03-22,Hyderabad,44,21,Night Cream,Neutrogena,2025-05-17,Not recommended,Negative
